Name,Applicants total,Admissions total,Enrolled total,Percent admitted - total,Admissions yield - total,Total price for in-state students living on campus 2013-14,Total price for students living on campus,State abbreviation,Sector of institution,Control of institution,Historically Black College or University,Historically Black Boolean,Degree of urbanization (Urban-centric locale),Carnegie Classification 2010: Basic,Total  enrollment,Full-time enrollment,Part-time enrollment,Undergraduate enrollment,Graduate enrollment,Full-time undergraduate enrollment,Part-time undergraduate enrollment,Percent of freshmen receiving any financial aid,"Percent of freshmen receiving federal, state, local or institutional grant aid",Percent of freshmen  receiving federal grant aid,Percent of freshmen receiving Pell grants,Percent of freshmen receiving other federal grant aid,Percent of freshmen receiving state/local grant aid,Percent of freshmen receiving institutional grant aid,Percent of freshmen receiving student loan aid,Percent of freshmen receiving federal student loans,Percent of freshmen receiving other loan aid
Southern Methodist University,12080,6125,1431,51,23,61355,61355,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Research Universities (high research activity),10929,8541,2388,6357,4572,6119,238,76,73,13,13,3,14,73,32,31,4
Southwestern Assemblies of God University,2057,717,344,35,48,31802,31802,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (smaller programs),2012,1488,524,1700,312,1434,266,99,95,49,49,11,43,76,75,75,7
Southwestern University,3546,1850,491,52,27,48080,48080,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Baccalaureate Colleges--Arts & Sciences,1535,1519,16,1535,0,1519,16,100,99,27,27,10,35,99,57,56,9
Stephen F Austin State University,11383,6474,2253,57,35,22948,33568,Texas,"Public, 4-year or above",Public,No,0,Rural: Fringe,Master's Colleges and Universities (larger programs),12772,9895,2877,11006,1766,9333,1673,86,71,47,46,3,36,45,62,62,5
Texas State University,18939,14219,5181,75,36,19620,28824,Texas,"Public, 4-year or above",Public,No,0,Suburb: Small,Master's Colleges and Universities (larger programs),35546,28185,7361,31005,4541,25683,5322,75,60,36,36,0,57,6,56,56,5
Southwestern Adventist University,1326,715,172,54,24,29602,29602,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Fringe,Baccalaureate Colleges--Diverse Fields,808,651,157,791,17,642,149,100,99,54,54,43,31,98,68,68,1
Sul Ross State University,1638,855,310,52,36,18556,27052,Texas,"Public, 4-year or above",Public,No,0,Town: Remote,Master's Colleges and Universities (larger programs),2842,1378,1464,2003,839,1213,790,94,76,63,63,4,58,17,75,74,2
Tarleton State University,6223,3536,1617,57,46,17964,26460,Texas,"Public, 4-year or above",Public,No,0,Town: Remote,Master's Colleges and Universities (larger programs),13307,8278,5029,11348,1959,7842,3506,86,68,41,41,2,46,31,57,56,3
Texas A & M University-Kingsville,6488,5716,1255,88,22,20423,31043,Texas,"Public, 4-year or above",Public,No,0,Town: Distant,Doctoral/Research Universities,12229,7665,4564,9430,2799,6416,3014,95,84,59,59,14,48,65,71,70,3
Texas A & M University-College Station,31387,21803,10241,69,47,21051,37671,Texas,"Public, 4-year or above",Public,No,0,City: Small,Research Universities (very high research activity),55697,48780,6917,44072,11625,39641,4431,79,65,26,26,12,41,58,34,33,5
The University of Texas at Arlington,10679,6405,2713,60,42,22234,30730,Texas,"Public, 4-year or above",Public,No,0,City: Large,Research Universities (high research activity),33329,19318,14011,25690,7639,15938,9752,79,70,44,44,3,35,42,45,44,6
The University of Texas at Austin,38161,15335,7249,40,47,26156,50200,Texas,"Public, 4-year or above",Public,No,0,City: Large,Research Universities (very high research activity),52059,47741,4318,39979,12080,36899,3080,63,54,26,26,3,43,43,39,39,2
The University of Texas at Dallas,8750,5125,2233,59,44,24784,39958,Texas,"Public, 4-year or above",Public,No,0,City: Midsize,Research Universities (high research activity),21193,16006,5187,13049,8144,10635,2414,84,79,26,26,0,43,72,29,28,2
The University of Texas at El Paso,6240,6228,3033,100,49,21399,33319,Texas,"Public, 4-year or above",Public,No,0,City: Large,Research Universities (high research activity),23003,14241,8762,19696,3307,12973,6723,86,76,67,67,5,56,32,41,40,3
The University of Texas at Tyler,2104,1726,704,82,41,21222,31842,Texas,"Public, 4-year or above",Public,No,0,City: Small,Master's Colleges and Universities (larger programs),7476,4711,2765,5591,1885,4090,1501,83,67,33,33,1,30,47,42,41,2
Texas Christian University,18551,8791,1936,47,22,50720,50720,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Doctoral/Research Universities,9925,8936,989,8640,1285,8326,314,75,65,10,10,2,9,65,31,31,7
Texas Lutheran University,1734,882,346,51,39,37620,37620,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Fringe,Baccalaureate Colleges--Diverse Fields,1341,1268,73,1329,12,1258,71,100,100,41,41,21,39,100,75,75,5
The University of Texas of the Permian Basin,1007,846,276,84,33,16749,25173,Texas,"Public, 4-year or above",Public,No,0,City: Midsize,Master's Colleges and Universities (medium programs),5131,2124,3007,4246,885,1924,2322,92,88,29,26,4,28,85,23,22,2
The University of Texas at San Antonio,15239,11165,4493,73,40,20598,29172,Texas,"Public, 4-year or above",Public,No,0,City: Large,Research Universities (high research activity),28623,21943,6680,24342,4281,20033,4309,84,71,43,43,0,41,62,53,52,6
Texas Southern University,9746,4389,1110,45,25,24566,35186,Texas,"Public, 4-year or above",Public,Yes,1,City: Large,Doctoral/Research Universities,8703,6936,1767,6288,2415,5321,967,95,89,78,78,21,70,20,77,77,3
Texas Tech University,19170,12709,4785,66,38,21601,30097,Texas,"Public, 4-year or above",Public,No,0,City: Midsize,Research Universities (high research activity),33111,28287,4824,27044,6067,24338,2706,75,54,25,24,3,24,41,48,46,9
Texas Wesleyan University,3336,998,273,30,27,35454,35454,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (larger programs),2397,1904,493,1724,673,1429,295,98,95,45,39,9,6,93,73,73,2
Texas Woman's University,4431,3812,1161,86,30,18259,28885,Texas,"Public, 4-year or above",Public,No,0,City: Midsize,Doctoral/Research Universities,15058,8428,6630,9515,5543,6722,2793,93,88,59,59,6,60,38,67,65,6
Trinity University,4505,2880,534,64,19,48630,48630,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (medium programs),2358,2259,99,2161,197,2111,50,94,93,18,18,17,20,93,42,40,23
Wayland Baptist University,581,573,348,99,61,23410,23410,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Remote,Master's Colleges and Universities (larger programs),6222,1235,4987,4515,1707,1143,3372,96,94,53,53,29,42,87,68,68,8
West Texas A & M University,4632,3429,1308,74,38,19154,19874,Texas,"Public, 4-year or above",Public,No,0,Town: Fringe,Master's Colleges and Universities (larger programs),8377,6025,2352,6906,1471,5523,1383,90,77,41,41,0,54,36,59,58,5
Brigham Young University-Provo,11423,5645,4427,49,78,17496,17496,Utah,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Research Universities (high research activity),31123,27114,4009,27765,3358,25084,2681,67,49,17,17,0,1,42,14,13,1
Brigham Young University-Hawaii,2664,960,516,36,54,16564,16564,Hawaii,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Fringe,Baccalaureate Colleges--Diverse Fields,2882,2505,377,2882,0,2505,377,78,70,22,22,0,0,57,19,19,0
Southern Utah University,8318,4749,1272,57,27,19082,31060,Utah,"Public, 4-year or above",Public,No,0,Town: Remote,Master's Colleges and Universities (larger programs),7745,5421,2324,7017,728,5254,1763,88,80,36,36,7,11,61,63,63,2
Utah State University,9052,8757,3824,97,44,17720,29240,Utah,"Public, 4-year or above",Public,No,0,City: Small,Research Universities (high research activity),27812,16436,11376,24385,3427,15260,9125,81,70,32,31,5,9,51,31,30,1
University of Utah,11354,9281,3124,82,34,21920,38199,Utah,"Public, 4-year or above",Public,No,0,City: Midsize,Research Universities (very high research activity),32077,23084,8993,24492,7585,17319,7173,64,51,24,24,4,13,35,27,27,2
Westminster College,2461,1850,449,75,24,42108,42108,Utah,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Master's Colleges and Universities (medium programs),3108,2680,428,2295,813,2140,155,96,95,27,27,7,2,95,57,57,5
Bennington College,1130,733,140,65,19,61920,61920,Vermont,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Baccalaureate Colleges--Arts & Sciences,738,720,18,619,119,609,10,95,94,19,19,9,4,94,61,53,10
Burlington College,199,165,45,83,27,35500,35500,Vermont,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Baccalaureate Colleges--Arts & Sciences,243,164,79,220,23,160,60,86,78,50,50,19,33,78,81,81,11
Castleton State College,2251,2072,480,92,23,21828,35556,Vermont,"Public, 4-year or above",Public,No,0,Town: Distant,Baccalaureate Colleges--Arts & Sciences,2175,1877,298,2068,107,1854,214,90,65,34,34,29,35,37,80,80,21
Champlain College,5047,3573,594,71,17,46850,46850,Vermont,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Baccalaureate Colleges--Diverse Fields,3305,2635,670,2898,407,2332,566,93,92,25,25,24,17,92,72,71,10
Goddard College,4,4,2,100,50,17018,17018,Vermont,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Distant,Master's Colleges and Universities (medium programs),592,582,10,209,383,206,3,57,57,57,57,43,0,43,57,57,14
Green Mountain College,773,584,136,76,23,45988,45988,Vermont,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Distant,Baccalaureate Colleges--Arts & Sciences,840,819,21,590,250,569,21,98,96,41,41,41,16,96,79,79,8
Johnson State College,864,837,225,97,27,21774,33438,Vermont,"Public, 4-year or above",Public,No,0,Rural: Distant,Master's Colleges and Universities (smaller programs),1692,993,699,1486,206,956,530,92,80,53,48,50,43,69,81,80,11
Lyndon State College,1354,1345,365,99,27,21744,32400,Vermont,"Public, 4-year or above",Public,No,0,Town: Remote,Baccalaureate Colleges--Diverse Fields,1519,1259,260,1415,104,1257,158,96,79,47,47,22,35,65,81,81,12
Marlboro College,232,176,47,76,27,51590,51590,Vermont,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Distant,Baccalaureate Colleges--Arts & Sciences,260,228,32,260,0,228,32,98,94,23,23,19,8,94,77,77,6
Middlebury College,8847,1518,598,17,39,59470,59470,Vermont,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Baccalaureate Colleges--Arts & Sciences,2495,2477,18,2495,0,2477,18,45,42,12,12,6,3,42,31,26,10
Norwich University,3081,1956,599,63,31,49655,49655,Vermont,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Master's Colleges and Universities (larger programs),3417,3126,291,2456,961,2228,228,100,99,28,28,22,11,98,76,76,9
Saint Michael's College,4431,3328,512,75,15,50920,50920,Vermont,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Midsize,Baccalaureate Colleges--Arts & Sciences,2378,2004,374,1998,380,1959,39,99,98,22,22,21,18,98,87,87,14
College of St Joseph,183,125,33,68,26,33700,33700,Vermont,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Remote,Master's Colleges and Universities (smaller programs),271,142,129,176,95,120,56,96,96,75,75,75,50,96,79,79,4
Southern Vermont College,336,334,93,99,28,35500,35500,Vermont,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Fringe,Baccalaureate Colleges--Diverse Fields,480,453,27,480,0,453,27,99,99,73,46,27,17,99,85,84,18
Sterling College,49,46,20,94,43,41092,41092,Vermont,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Remote,Baccalaureate Colleges--Arts & Sciences,116,104,12,116,0,104,12,100,100,63,63,0,44,94,75,75,25
Vermont Technical College,568,469,194,83,41,24282,34794,Vermont,"Public, 4-year or above",Public,No,0,Rural: Remote,Baccalaureate/Associate's Colleges,1543,1049,494,1543,0,1049,494,94,77,52,50,16,52,53,82,81,14
University of Vermont,22381,17357,2495,78,14,28886,49814,Vermont,"Public, 4-year or above",Public,No,0,City: Small,Research Universities (high research activity),12723,11001,1722,10912,1811,9764,1148,94,91,20,20,11,16,90,51,50,7
Averett University,2356,1491,241,63,16,39124,39124,Virginia,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Remote,Baccalaureate Colleges--Diverse Fields,906,864,42,877,29,851,26,100,100,58,53,5,53,100,88,79,9
Bluefield College,1042,597,118,57,20,35560,35560,Virginia,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Remote,Baccalaureate Colleges--Diverse Fields,842,726,116,837,5,723,114,100,100,50,50,16,64,100,85,85,4
Bridgewater College,5401,2967,536,55,18,43310,43310,Virginia,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Small,Baccalaureate Colleges--Arts & Sciences,1848,1840,8,1848,0,1840,8,100,100,30,30,9,76,99,73,73,10
College of William and Mary,14046,4665,1479,33,32,28329,51306,Virginia,"Public, 4-year or above",Public,No,0,Suburb: Small,Research Universities (high research activity),8376,7850,526,6271,2105,6195,76,53,33,12,11,1,12,30,27,27,2
Regent University,1238,1054,231,85,22,28368,28368,Virginia,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Doctoral/Research Universities,5693,2530,3163,2400,3293,1497,903,100,98,41,41,0,42,94,93,93,4
Christopher Newport University,7016,4141,1276,59,31,25808,35708,Virginia,"Public, 4-year or above",Public,No,0,City: Midsize,Master's Colleges and Universities (smaller programs),5232,5066,166,5094,138,4962,132,75,57,15,15,1,29,37,52,51,8
Emory & Henry College,1663,1093,267,66,24,41866,41866,Virginia,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Fringe,Baccalaureate Colleges--Arts & Sciences,959,894,65,936,23,889,47,100,100,40,40,8,61,100,70,70,4
Eastern Mennonite University,1073,698,232,65,33,41500,41500,Virginia,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Baccalaureate Colleges--Arts & Sciences,1640,1252,388,1184,456,1122,62,99,99,41,34,41,58,99,73,72,9
Ferrum College,3272,2425,569,74,23,40627,40627,Virginia,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Distant,Baccalaureate Colleges--Diverse Fields,1512,1492,20,1512,0,1492,20,100,100,63,63,36,75,100,97,97,4
George Mason University,20805,12905,3011,62,23,25335,44019,Virginia,"Public, 4-year or above",Public,No,0,Suburb: Large,Research Universities (high research activity),33917,21421,12496,21990,11927,17261,4729,66,44,24,24,11,27,16,50,49,5
Hampden-Sydney College,2623,1439,293,55,20,51577,51577,Virginia,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Distant,Baccalaureate Colleges--Arts & Sciences,1070,1068,2,1070,0,1068,2,100,100,24,24,9,70,99,66,64,8
Hampton University,15337,5529,1004,36,18,33854,33854,Virginia,"Private not-for-profit, 4-year or above",Private NFP,Yes,1,City: Midsize,Master's Colleges and Universities (medium programs),4622,4116,506,3742,880,3491,251,90,71,40,40,6,17,45,72,68,7
Hollins University,824,571,148,69,26,48180,48180,Virginia,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Midsize,Baccalaureate Colleges--Arts & Sciences,750,616,134,580,170,561,19,100,100,34,34,15,48,100,69,69,10
James Madison University,22648,14394,4325,64,30,22740,37218,Virginia,"Public, 4-year or above",Public,No,0,City: Small,Master's Colleges and Universities (larger programs),20181,18626,1555,18431,1750,17526,905,60,25,13,12,4,9,16,43,42,4
Liberty University,48054,10405,4690,22,45,33544,33544,Virginia,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Master's Colleges and Universities (larger programs),77338,36353,40985,47464,29874,25911,21553,95,94,40,40,6,23,80,66,66,7
Longwood University,4055,3299,1111,81,34,23724,36594,Virginia,"Public, 4-year or above",Public,No,0,Town: Remote,Master's Colleges and Universities (medium programs),4960,4265,695,4497,463,4123,374,69,47,24,23,3,30,24,56,55,5
Lynchburg College,5695,3627,512,64,14,44695,44695,Virginia,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Master's Colleges and Universities (smaller programs),2713,2335,378,2178,535,2089,89,100,99,34,33,6,64,99,77,77,7
Mary Baldwin College,3089,2729,218,88,8,40420,40420,Virginia,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Master's Colleges and Universities (smaller programs),1711,1149,562,1441,270,1037,404,100,100,58,57,57,63,100,81,81,5
University of Mary Washington,4496,3640,947,81,26,24076,36946,Virginia,"Public, 4-year or above",Public,No,0,Suburb: Midsize,Master's Colleges and Universities (larger programs),4831,3989,842,4383,448,3843,540,68,37,15,14,2,12,33,47,47,5
Marymount University,2082,1718,400,83,23,41160,41160,Virginia,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Master's Colleges and Universities (larger programs),3486,2682,804,2396,1090,2141,255,95,95,29,29,2,37,94,75,75,5
Norfolk State University,3373,2192,829,65,38,20536,34006,Virginia,"Public, 4-year or above",Public,Yes,1,City: Midsize,Master's Colleges and Universities (larger programs),6728,5428,1300,6021,707,4979,1042,97,84,67,66,2,44,31,85,85,4
Old Dominion University,10201,7833,2943,77,38,22267,37927,Virginia,"Public, 4-year or above",Public,No,0,City: Midsize,Research Universities (high research activity),24828,16957,7871,19819,5009,15102,4717,82,82,37,37,6,43,33,65,64,7
Radford University,7774,6088,1986,78,33,20700,32865,Virginia,"Public, 4-year or above",Public,No,0,City: Small,Master's Colleges and Universities (larger programs),9928,9166,762,8913,1015,8545,368,75,43,30,26,8,16,19,62,61,11
Randolph-Macon College,2997,1909,382,64,20,47740,47740,Virginia,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Baccalaureate Colleges--Arts & Sciences,1315,1295,20,1315,0,1295,20,100,100,27,26,3,72,100,73,71,8
Randolph College,1056,881,216,83,25,46060,46060,Virginia,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Baccalaureate Colleges--Arts & Sciences,682,663,19,665,17,649,16,100,100,33,33,13,54,100,83,76,9
